"ICD.Chapter";"State";"Year";"Deaths";"Population";"Crude.Rate"
"Certain infectious and parasitic diseases";"Alabama";1999;1092;4430141;246
"Certain infectious and parasitic diseases";"Alabama";2000;1188;4447100;267
"Certain infectious and parasitic diseases";"Alabama";2001;1211;4467634;271
"Certain infectious and parasitic diseases";"Alabama";2002;1215;4480089;271
"Certain infectious and parasitic diseases";"Alabama";2003;1350;4503491;300
"Certain infectious and parasitic diseases";"Alabama";2004;1251;4530729;276
"Certain infectious and parasitic diseases";"Alabama";2005;1303;4569805;285
"Certain infectious and parasitic diseases";"Alabama";2006;1312;4628981;283
"Certain infectious and parasitic diseases";"Alabama";2007;1241;4672840;266
"Certain infectious and parasitic diseases";"Alabama";2008;1385;4718206;294
"Certain infectious and parasitic diseases";"Alabama";2009;1381;4757938;290
"Certain infectious and parasitic diseases";"Alabama";2010;1358;4779736;284
"Certain infectious and parasitic diseases";"Alabama";2011;1382;4802740;288
"Certain infectious and parasitic diseases";"Alabama";2012;1380;4822023;286
"Certain infectious and parasitic diseases";"Alabama";2013;1457;4833722;301
"Certain infectious and parasitic diseases";"Alabama";2014;1539;4849377;317
"Certain infectious and parasitic diseases";"Alabama";2015;1527;4858979;314
"Certain infectious and parasitic diseases";"Alaska";1999;61;624779;98
"Certain infectious and parasitic diseases";"Alaska";2000;51;626932;81
"Certain infectious and parasitic diseases";"Alaska";2001;58;633714;92
"Certain infectious and parasitic diseases";"Alaska";2002;67;642337;104
"Certain infectious and parasitic diseases";"Alaska";2003;61;648414;94
"Certain infectious and parasitic diseases";"Alaska";2004;53;659286;80
"Certain infectious and parasitic diseases";"Alaska";2005;68;666946;102
"Certain infectious and parasitic diseases";"Alaska";2006;65;675302;96
"Certain infectious and parasitic diseases";"Alaska";2007;78;680300;115
"Certain infectious and parasitic diseases";"Alaska";2008;70;687455;102
"Certain infectious and parasitic diseases";"Alaska";2009;73;698895;104
"Certain infectious and parasitic diseases";"Alaska";2010;88;710231;124
"Certain infectious and parasitic diseases";"Alaska";2011;80;722718;111
"Certain infectious and parasitic diseases";"Alaska";2012;94;731449;129
"Certain infectious and parasitic diseases";"Alaska";2013;91;735132;124
