"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","start.end.name"
494,"2017-09-17 13:42:18","2017-09-17 13:50:33",3192,"Liberty Light Rail",40.7112423,-74.0557013,3186,"Grove St PATH",40.7195861164717,-74.0431174635887,26153,"Subscriber","1994",1,"Liberty Light Rail - Grove St PATH"
111,"2017-09-15 12:17:49","2017-09-15 12:19:41",3213,"Van Vorst Park",40.71848892,-74.047726625,3186,"Grove St PATH",40.7195861164717,-74.0431174635887,29520,"Subscriber","1992",1,"Van Vorst Park - Grove St PATH"
192,"2017-09-23 18:32:45","2017-09-23 18:35:58",3187,"Warren St",40.7211236,-74.03805095,3186,"Grove St PATH",40.7195861164717,-74.0431174635887,29516,"Subscriber","1991",1,"Warren St - Grove St PATH"
319,"2017-09-23 19:51:47","2017-09-23 19:57:06",3272,"Jersey & 3rd",40.7233315864644,-74.0459525585174,3279,"Dixon Mills",40.7216301426384,-74.0499678254128,29583,"Subscriber","1982",2,"Jersey & 3rd - Dixon Mills"
126,"2017-09-02 11:03:39","2017-09-02 11:05:45",3203,"Hamilton Park",40.727595966,-74.044247311,3272,"Jersey & 3rd",40.7233315864644,-74.0459525585174,29612,"Subscriber","1990",1,"Hamilton Park - Jersey & 3rd"
834,"2017-09-14 16:55:05","2017-09-14 17:09:00",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,3279,"Dixon Mills",40.7216301426384,-74.0499678254128,29597,"Subscriber","1982",1,"Grove St PATH - Dixon Mills"
939,"2017-09-15 14:14:23","2017-09-15 14:30:02",3183,"Exchange Place",40.7162469,-74.0334588,3279,"Dixon Mills",40.7216301426384,-74.0499678254128,29233,"Subscriber","1993",1,"Exchange Place - Dixon Mills"
924,"2017-09-10 11:26:41","2017-09-10 11:42:06",3278,"Monmouth and 6th",40.725685483629,-74.0487903356552,3192,"Liberty Light Rail",40.7112423,-74.0557013,29638,"Customer","NULL",0,"Monmouth and 6th - Liberty Light Rail"
367,"2017-09-01 07:11:42","2017-09-01 07:17:50",3214,"Essex Light Rail",40.7127742,-74.0364857,3202,"Newport PATH",40.7272235,-74.0337589,26253,"Subscriber","1986",2,"Essex Light Rail - Newport PATH"
680,"2017-09-01 17:48:44","2017-09-01 18:00:04",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29537,"Subscriber","1969",1,"Exchange Place - Warren St"
360,"2017-09-14 14:55:09","2017-09-14 15:01:09",3184,"Paulus Hook",40.7141454,-74.0335519,3276,"Marin Light Rail",40.7145840353589,-74.042817056179,26287,"Customer","NULL",0,"Paulus Hook - Marin Light Rail"
104,"2017-09-16 10:52:25","2017-09-16 10:54:09",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,26252,"Subscriber","NULL",0,"Exchange Place - Paulus Hook"
400,"2017-09-13 09:22:07","2017-09-13 09:28:47",3273,"Manila & 1st",40.72165072488,-74.0428841114044,3183,"Exchange Place",40.7162469,-74.0334588,26234,"Subscriber","1971",1,"Manila & 1st - Exchange Place"
285,"2017-09-13 14:33:00","2017-09-13 14:37:45",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,3209,"Brunswick St",40.7241765,-74.0506564,29303,"Subscriber","1979",1,"Grove St PATH - Brunswick St"
265,"2017-09-22 08:54:47","2017-09-22 08:59:13",3270,"Jersey & 6th St",40.7252891078113,-74.0455716848373,3186,"Grove St PATH",40.7195861164717,-74.0431174635887,29678,"Subscriber","1970",1,"Jersey & 6th St - Grove St PATH"
385,"2017-09-29 07:30:53","2017-09-29 07:37:19",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,3202,"Newport PATH",40.7272235,-74.0337589,31768,"Subscriber","1969",1,"Grove St PATH - Newport PATH"
197,"2017-09-25 16:15:36","2017-09-25 16:18:54",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,3213,"Van Vorst Park",40.71848892,-74.047726625,29483,"Subscriber","1970",1,"Grove St PATH - Van Vorst Park"
587,"2017-09-20 08:41:22","2017-09-20 08:51:10",3268,"Lafayette Park",40.7134638266919,-74.0628585219383,3183,"Exchange Place",40.7162469,-74.0334588,29622,"Subscriber","1984",1,"Lafayette Park - Exchange Place"
223,"2017-09-13 07:36:02","2017-09-13 07:39:45",3278,"Monmouth and 6th",40.725685483629,-74.0487903356552,3186,"Grove St PATH",40.7195861164717,-74.0431174635887,29519,"Subscriber","1989",1,"Monmouth and 6th - Grove St PATH"
946,"2017-09-29 07:47:56","2017-09-29 08:03:42",3195,"Sip Ave",40.7307426253066,-74.0637838840485,3188,"NJCU",40.7101087,-74.0858489,31720,"Subscriber","1972",1,"Sip Ave - NJCU"
434,"2017-09-08 18:21:00","2017-09-08 18:28:15",3199,"Newport Pkwy",40.7287448,-74.0321082,3186,"Grove St PATH",40.7195861164717,-74.0431174635887,26297,"Subscriber","1988",1,"Newport Pkwy - Grove St PATH"
408,"2017-09-28 10:50:26","2017-09-28 10:57:14",3267,"Morris Canal",40.7124188237569,-74.0385255217552,3185,"City Hall",40.7177325,-74.043845,31751,"Subscriber","1975",2,"Morris Canal - City Hall"
438,"2017-09-19 20:11:31","2017-09-19 20:18:49",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,3209,"Brunswick St",40.7241765,-74.0506564,29445,"Subscriber","1985",1,"Grove St PATH - Brunswick St"
247,"2017-09-11 17:34:50","2017-09-11 17:38:58",3186,"Grove St PATH",40.7195861164717,-74.0431174635887,3269,"Brunswick & 6th",40.7260117296463,-74.0503889322281,26151,"Subscriber","1981",1,"Grove St PATH - Brunswick & 6th"
2052,"2017-09-04 11:36:42","2017-09-04 12:10:55",3192,"Liberty Light Rail",40.7112423,-74.0557013,3217,"Bayside Park",40.698650544,-74.082079678,29479,"Customer","1967",2,"Liberty Light Rail - Bayside Park"
